"Timestamp","Total score","How old are you?","How old are you? [Score]","How old are you? [Feedback]","Your gender","Your gender [Score]","Your gender [Feedback]","Which country do you reside in?","Which country do you reside in? [Score]","Which country do you reside in? [Feedback]","How many memberships or loyalty cards do you currently use regularly?(Select one)","How many memberships or loyalty cards do you currently use regularly?(Select one) [Score]","How many memberships or loyalty cards do you currently use regularly?(Select one) [Feedback]","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply)","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply) [Score]","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply) [Feedback]","How often do you shop at stores that offer loyalty programs? (Select one) ","How often do you shop at stores that offer loyalty programs? (Select one)  [Score]","How often do you shop at stores that offer loyalty programs? (Select one)  [Feedback]","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply) ","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply)  [Score]","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply)  [Feedback]","How do you currently store or access your membership cards? (Select one) ","How do you currently store or access your membership cards? (Select one)  [Score]","How do you currently store or access your membership cards? (Select one)  [Feedback]","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one) ","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one)  [Score]","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one)  [Feedback]","What features would you like to see in a unified membership system? (Select all that apply) ","What features would you like to see in a unified membership system? (Select all that apply)  [Score]","What features would you like to see in a unified membership system? (Select all that apply)  [Feedback]","How likely are you to use a unified membership system if it existed? (Select one) ","How likely are you to use a unified membership system if it existed? (Select one)  [Score]","How likely are you to use a unified membership system if it existed? (Select one)  [Feedback]","What improvements would you suggest for current loyalty programs you use?","What improvements would you suggest for current loyalty programs you use? [Score]","What improvements would you suggest for current loyalty programs you use? [Feedback]","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience?","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience? [Score]","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience? [Feedback]"
"2024/10/29 1:32:00 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","China","-- / 0","","2-3","-- / 0","","Grocery stores;Restaurants/Cafes;Online shopping platforms","-- / 0","","Daily","-- / 0","","Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","Cross-store reword or points or discounts ","-- / 0","","Make it easier ","-- / 0",""
"2024/10/29 2:46:07 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Likely","-- / 0","","To they show me promotions","-- / 0","","Show all details ","-- / 0",""
"2024/10/29 2:46:17 pm GMT","0.00 / 0","18-24","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits","-- / 0","","Likely","-- / 0","","More integrity and all in one function","-- / 0","","None","-- / 0",""
"2024/10/29 2:53:25 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","2-3","-- / 0","","Grocery stores;Online shopping platforms","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Customizable notifications and reminders","-- / 0","","Very likely","-- / 0","","None","-- / 0","","None","-- / 0",""
"2024/10/29 2:55:37 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","France","-- / 0","","2-3","-- / 0","","Retail stores (clothing, electronics, etc.);Sephora membership card","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications","-- / 0","","Very likely","-- / 0","","If it was connected to social media accounts (people tend to forget too many accounts and passwords)","-- / 0","","None","-- / 0",""
"2024/10/29 2:57:35 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs","-- / 0","","Weekly","-- / 0","","Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Customizable notifications and reminders;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","Not sure","-- / 0","","No","-- / 0",""
"2024/10/29 3:09:41 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Japan","-- / 0","","4-6","-- / 0","","Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms;Travel and hospitality (hotels, airlines)","-- / 0","","A few times a year","-- / 0","","Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores","-- / 0","","Very likely","-- / 0","","Unified loyalty program or unified application for all of mu loyalties","-- / 0","","It would make it very east to use","-- / 0",""
"2024/10/29 3:14:09 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Rarely","-- / 0","","None","-- / 0","","I use both physical and digital cards","-- / 0","","Unsure","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Neutral","-- / 0","","Nothing","-- / 0","","No","-- / 0",""
"2024/10/29 3:27:42 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores","-- / 0","","Very likely","-- / 0","",".","-- / 0","",".","-- / 0",""
"2024/10/29 3:38:25 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Rarely","-- / 0","","Having too many physical or digital cards","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","Digital card on my phone","-- / 0","","No","-- / 0",""
"2024/10/29 3:50:45 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Restaurants/Cafes","-- / 0","","Monthly","-- / 0","","Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","All good","-- / 0","","No","-- / 0",""
"2024/10/29 3:57:05 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Difficulty understanding terms and conditions of programs;None;","-- / 0","","Digital cards on my phone","-- / 0","","No","-- / 0","","Customizable notifications and reminders","-- / 0","","very unlikely","-- / 0","","2","-- / 0","","2","-- / 0",""
"2024/10/29 4:33:45 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Personalized offers based on shopping habits;Integration with mobile payment options","-- / 0","","very unlikely","-- / 0","","I suggest personalizing rewards, integrating mobile payment options like Social Pay, offering partnerships with local businesses, and simplifying the points system for easier access and engagement.","-- / 0","","A unified membership system would make shopping easier by letting customers earn and use rewards at different stores, simplifying account management, and offering personalized deals based on their shopping habits. This would help build customer loyalty.","-- / 0",""
"2024/10/29 4:36:18 pm GMT","0.00 / 0","18-24","-- / 0","","Female","-- / 0","","China","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Gyms/Health clubs","-- / 0","","A few times a year","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Inconsistent benefits or rewards between stores;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","It would be better if the terms and requirements are easy to understand","-- / 0","","no","-- / 0",""
"2024/10/29 4:48:43 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.)","-- / 0","","Monthly","-- / 0","","Having too many physical or digital cards;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications;Personalized offers based on shopping habits;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","*","-- / 0","","*","-- / 0",""
"2024/10/29 5:59:36 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Daily","-- / 0","","None","-- / 0","","Digital cards on my phone","-- / 0","","Unsure","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","Make them all plastic cards ","-- / 0","","Nope","-- / 0",""
"2024/10/29 6:43:01 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Australia","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms","-- / 0","","Weekly","-- / 0","","Inconsistent benefits or rewards between stores;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/10/29 7:05:52 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms;Travel and hospitality (hotels, airlines)","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs;Inconsistent benefits or rewards between stores","-- / 0","","I don’t store them at all","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","I prefer to collect points for all my purchases over getting a small discount for some items","-- / 0","","It would encourage me to go to different stores and expand my access to different products without feeling too foreign or forcing me to create a new account and sell my data to yet another company ","-- / 0",""
"2024/10/29 7:25:23 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Germany","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Easy redemption of rewards from multiple stores;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","Paypack","-- / 0","","no","-- / 0",""
"2024/10/29 9:23:59 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","1","-- / 0","","Retail stores (clothing, electronics, etc.);Online shopping platforms","-- / 0","","Monthly","-- / 0","","Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Likely","-- / 0","","Ease of use","-- / 0","","No","-- / 0",""
"2024/10/29 11:06:08 pm GMT","0.00 / 0","35-44","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications","-- / 0","","Neutral","-- / 0","","none","-- / 0","","none","-- / 0",""
"2024/10/29 11:15:15 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","4-6","-- / 0","","Grocery stores;Restaurants/Cafes","-- / 0","","A few times a year","-- / 0","","Forgetting to use or redeem points","-- / 0","","I use both physical and digital cards","-- / 0","","Unsure","-- / 0","","Easy redemption of rewards from multiple stores;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","",".","-- / 0","",".","-- / 0",""
"2024/10/29 11:24:32 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs","-- / 0","","Daily","-- / 0","","Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","No promotion emails ","-- / 0","","N\A","-- / 0",""
"2024/10/29 11:24:40 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","United Kingdom","-- / 0","","2-3","-- / 0","","Online shopping platforms","-- / 0","","Weekly","-- / 0","","Inconsistent benefits or rewards between stores","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Easy redemption of rewards from multiple stores","-- / 0","","Neutral","-- / 0","","yes","-- / 0","","yes","-- / 0",""
"2024/10/30 12:04:30 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","more offers and discounts","-- / 0","","easy to use","-- / 0",""
"2024/10/30 12:19:50 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Monthly","-- / 0","","None","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","None","-- / 0","","No","-- / 0",""
"2024/10/30 12:20:04 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Restaurants/Cafes","-- / 0","","Weekly","-- / 0","","Inconsistent benefits or rewards between stores;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications;Personalized offers based on shopping habits;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Unlikely","-- / 0","","do not update app often","-- / 0","","none","-- / 0",""
"2024/10/30 12:24:27 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Gyms/Health clubs","-- / 0","","Rarely","-- / 0","","Forgetting to use or redeem points","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Likely","-- / 0","","None","-- / 0","","None","-- / 0",""
"2024/10/30 12:54:37 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","4-6","-- / 0","","Restaurants/Cafes;Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","None","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Easy redemption of rewards from multiple stores;","-- / 0","","Likely","-- / 0","",".","-- / 0","","..","-- / 0",""
"2024/10/30 1:31:19 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Restaurants/Cafes;Online shopping platforms;Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications","-- / 0","","Very likely","-- / 0","","none","-- / 0","","none","-- / 0",""
"2024/10/30 2:28:15 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Retail stores (clothing, electronics, etc.);Restaurants/Cafes","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","none","-- / 0","","no","-- / 0",""
"2024/10/30 2:32:15 am GMT","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Online shopping platforms;Gyms/Health clubs","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Customizable notifications and reminders;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","Different ways of payment (like a credit card )","-- / 0","","Could be much easier ","-- / 0",""
"2024/10/30 3:21:58 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Online shopping platforms","-- / 0","","A few times a year","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options","-- / 0","","Very likely","-- / 0","","Nothing","-- / 0","","No","-- / 0",""
"2024/10/30 3:26:26 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores","-- / 0","","Monthly","-- / 0","","None","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Integration with mobile payment options","-- / 0","","Very likely","-- / 0","","mobile app","-- / 0","","no","-- / 0",""
"2024/10/30 3:32:28 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Thailand","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Unsure","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores","-- / 0","","Neutral","-- / 0","","Exclusive Experiences: Beyond discounts, providing exclusive experiences—like VIP events, early access to sales, or personalized customer service—can add significant value to the program.","-- / 0","","Improved Customer Support: A unified system could include a central support service, simplifying problem resolution and improving customer satisfaction.","-- / 0",""
"2024/10/30 4:16:18 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Restaurants/Cafes","-- / 0","","A few times a year","-- / 0","","Forgetting to use or redeem points","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Easy redemption of rewards from multiple stores","-- / 0","","Likely","-- / 0","","No","-- / 0","","No","-- / 0",""
"2024/10/30 5:56:39 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Australia","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms;Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","I don’t store them at all","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","Cross store redemption ","-- / 0","","Your idea is the best","-- / 0",""
"2024/10/30 6:40:05 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","7 or more","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","Precise notifications","-- / 0","","Simplified platform","-- / 0",""
"2024/10/30 7:16:44 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points","-- / 0","","Digital cards on my phone","-- / 0","","Unsure","-- / 0","","Automatic point tracking and notifications","-- / 0","","Neutral","-- / 0","",".","-- / 0","",".","-- / 0",""
"2024/10/30 8:24:21 am GMT","0.00 / 0","55+","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","A few times a year","-- / 0","","Forgetting to use or redeem points","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Neutral","-- / 0","","Easy all in one","-- / 0","","No comment","-- / 0",""
"2024/10/30 9:04:24 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Daily","-- / 0","","Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","None","-- / 0","","None","-- / 0",""
"2024/10/30 9:05:40 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Travel and hospitality (hotels, airlines)","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards","-- / 0","","I use both physical and digital cards","-- / 0","","Unsure","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","Easier to understand how loyalty programs work, maybe simplify them more.","-- / 0","","Currently, not too sure about this.","-- / 0",""
"2024/10/30 9:15:47 am GMT","0.00 / 0","18-24","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications","-- / 0","","Likely","-- / 0","",".","-- / 0","",".","-- / 0",""
"2024/10/30 10:08:05 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","4-6","-- / 0","","Grocery stores;Restaurants/Cafes;Gyms/Health clubs;Mechanic ","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits","-- / 0","","Likely","-- / 0","","Constantly offers otherwise it could be forgotten ","-- / 0","","have an option on your platform with a map showing where each store is and when you click on the desired store it shows availability and offers","-- / 0",""
