"Timestamp","Total score","How old are you?","How old are you? [Score]","How old are you? [Feedback]","Your gender","Your gender [Score]","Your gender [Feedback]","Which country do you reside in?","Which country do you reside in? [Score]","Which country do you reside in? [Feedback]","How many memberships or loyalty cards do you currently use regularly?(Select one)","How many memberships or loyalty cards do you currently use regularly?(Select one) [Score]","How many memberships or loyalty cards do you currently use regularly?(Select one) [Feedback]","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply)","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply) [Score]","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply) [Feedback]","How often do you shop at stores that offer loyalty programs? (Select one) ","How often do you shop at stores that offer loyalty programs? (Select one)  [Score]","How often do you shop at stores that offer loyalty programs? (Select one)  [Feedback]","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply) ","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply)  [Score]","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply)  [Feedback]","How do you currently store or access your membership cards? (Select one) ","How do you currently store or access your membership cards? (Select one)  [Score]","How do you currently store or access your membership cards? (Select one)  [Feedback]","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one) ","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one)  [Score]","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one)  [Feedback]","What features would you like to see in a unified membership system? (Select all that apply) ","What features would you like to see in a unified membership system? (Select all that apply)  [Score]","What features would you like to see in a unified membership system? (Select all that apply)  [Feedback]","How likely are you to use a unified membership system if it existed? (Select one) ","How likely are you to use a unified membership system if it existed? (Select one)  [Score]","How likely are you to use a unified membership system if it existed? (Select one)  [Feedback]","What improvements would you suggest for current loyalty programs you use?","What improvements would you suggest for current loyalty programs you use? [Score]","What improvements would you suggest for current loyalty programs you use? [Feedback]","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience?","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience? [Score]","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience? [Feedback]"
"2024/10/30 10:28:23 am GMT","0.00 / 0","35-44","-- / 0","","Female","-- / 0","","China","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms","-- / 0","","Daily","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs","-- / 0","","I use both physical and digital cards","-- / 0","","No","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Likely","-- / 0","","It would be best if the points could be directly applied to the next bill, as I tend to forget about them over time.","-- / 0","","Haven’t thought about that yet, haha!","-- / 0",""
"2024/10/30 10:34:13 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Malaysia","-- / 0","","2-3","-- / 0","","Retail stores (clothing, electronics, etc.)","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","No","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications","-- / 0","","Likely","-- / 0","","Digital will be great , but not an apps because too much apps on phone is wasting the store as well. So all in one will be great ","-- / 0","","No idea","-- / 0",""
"2024/10/30 2:15:13 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Online shopping platforms;Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Unsure","-- / 0","","Automatic point tracking and notifications;Personalized offers based on shopping habits;Customizable notifications and reminders;Integration with mobile payment options","-- / 0","","Likely","-- / 0","",".","-- / 0","",".","-- / 0",""
"2024/10/30 2:28:07 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Netherlands","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Travel and hospitality (hotels, airlines)","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Neutral","-- / 0","","Ease of access in redeeming rewards","-- / 0","","No","-- / 0",""
"2024/10/30 4:43:08 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Gyms/Health clubs","-- / 0","","Daily","-- / 0","","Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications","-- / 0","","Likely","-- / 0","","what it easy to use","-- / 0","","want my points to use every store","-- / 0",""
"2024/10/30 4:44:40 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms;Gyms/Health clubs","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders","-- / 0","","Likely","-- / 0","","No","-- / 0","","No","-- / 0",""
"2024/10/30 4:45:50 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","Australia","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Gyms/Health clubs","-- / 0","","Daily","-- / 0","","None","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","No","-- / 0","","No","-- / 0",""
"2024/10/30 4:47:31 pm GMT","0.00 / 0","35-44","-- / 0","","Female","-- / 0","","China","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.)","-- / 0","","Daily","-- / 0","","Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","No","-- / 0","","No","-- / 0",""
"2024/10/30 4:49:39 pm GMT","0.00 / 0","45-54","-- / 0","","Male","-- / 0","","Japan","-- / 0","","2-3","-- / 0","","Grocery stores;Online shopping platforms","-- / 0","","Daily","-- / 0","","None","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Easy redemption of rewards from multiple stores","-- / 0","","Very likely","-- / 0","","No","-- / 0","","No","-- / 0",""
"2024/10/30 4:53:23 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Japan","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms;Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","Notification for expired days","-- / 0","","Not really","-- / 0",""
"2024/10/30 4:55:17 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Chile","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards;Receiving too many promotional emails;Having them updated through the years","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Customizable notifications and reminders","-- / 0","","Likely","-- / 0","","Better accessibility to the promotions ","-- / 0","","No","-- / 0",""
"2024/10/30 5:02:26 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Travel and hospitality (hotels, airlines)","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Inconsistent benefits or rewards between stores;Having too many physical or digital cards;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","",".","-- / 0","",".","-- / 0",""
"2024/10/30 5:06:33 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","Idk","-- / 0","","Idk","-- / 0",""
"2024/10/30 5:09:56 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Australia","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Gyms/Health clubs","-- / 0","","Weekly","-- / 0","","Having too many physical or digital cards","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/10/30 5:11:04 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","China","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.)","-- / 0","","Daily","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/10/30 5:29:11 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Gyms/Health clubs","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Inconsistent benefits or rewards between stores;Having too many physical or digital cards","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","Consistent reward system ","-- / 0","","Single- unified card or bar code to verify the membership ","-- / 0",""
"2024/10/31 12:24:31 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs;cinema","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits","-- / 0","","Likely","-- / 0","","to all have mobile apps","-- / 0","","none","-- / 0",""
"2024/10/31 12:24:47 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Retail stores (clothing, electronics, etc.);Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","None ","-- / 0","","None ","-- / 0",""
"2024/10/31 1:28:42 am GMT","0.00 / 0","18-24","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Travel and hospitality (hotels, airlines)","-- / 0","","Weekly","-- / 0","","Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Personalized offers based on shopping habits","-- / 0","","Very likely","-- / 0","","Improve mobile apps for easier access to rewards, account management, and exclusive offers","-- / 0","","Members could access exclusive deals or benefits across different brands","-- / 0",""
"2024/10/31 1:38:32 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Monthly","-- / 0","","None","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","No","-- / 0","","No","-- / 0",""
"2024/10/31 1:41:04 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Having too many physical or digital cards","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","no offer","-- / 0","","no thanks needed","-- / 0",""
"2024/10/31 2:04:41 am GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","None","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Very likely","-- / 0","","I have no problems at all with all of them. Most of them are way easy to use.","-- / 0","","None","-- / 0",""
"2024/10/31 2:13:19 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Difficulty understanding terms and conditions of programs","-- / 0","","I don’t store them at all","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Easy redemption of rewards from multiple stores;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","No comment","-- / 0","","No comment","-- / 0",""
"2024/10/31 5:20:42 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Australia","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.)","-- / 0","","Weekly","-- / 0","","None","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Customizable notifications and reminders;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","Show points","-- / 0","","One membership card for 2-3 people","-- / 0",""
"2024/10/31 5:27:55 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","China","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Gyms/Health clubs","-- / 0","","Weekly","-- / 0","","Having too many physical or digital cards;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications;Easy redemption of rewards from multiple stores","-- / 0","","Very likely","-- / 0","","No suggestion ","-- / 0","","No","-- / 0",""
"2024/10/31 8:53:44 am GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs","-- / 0","","Daily","-- / 0","","Forgetting to use or redeem points;Inconsistent benefits or rewards between stores;Having too many physical or digital cards","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Easy redemption of rewards from multiple stores;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","Integration","-- / 0","","N/A","-- / 0",""
"2024/10/31 4:10:49 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Japan","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.)","-- / 0","","Monthly","-- / 0","","Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores","-- / 0","","Likely","-- / 0","","Collaboration with other brands  ","-- / 0","","No","-- / 0",""
"2024/10/31 5:20:37 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Restaurants/Cafes;Travel and hospitality (hotels, airlines)","-- / 0","","A few times a year","-- / 0","","Forgetting to use or redeem points;Difficulty understanding terms and conditions of programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications","-- / 0","","Very likely","-- / 0","","Most important is Easy to use","-- / 0","","No","-- / 0",""
"2024/11/02 3:30:02 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Restaurants/Cafes;Online shopping platforms;Travel and hospitality (hotels, airlines)","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Inconsistent benefits or rewards between stores;Difficulty understanding terms and conditions of programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Customizable notifications and reminders;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","No","-- / 0","","No","-- / 0",""
"2024/11/05 9:37:00 pm GMT","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Australia","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores","-- / 0","","Likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/05 9:37:53 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders","-- / 0","","Very likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/05 9:39:56 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","United Kingdom","-- / 0","","2-3","-- / 0","","Grocery stores;Online shopping platforms;Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Inconsistent benefits or rewards between stores","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Easy redemption of rewards from multiple stores","-- / 0","","Very likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/05 9:40:48 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","United Kingdom","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Integration with mobile payment options","-- / 0","","Neutral","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/05 9:41:34 pm GMT","0.00 / 0","35-44","-- / 0","","Female","-- / 0","","Australia","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Personalized offers based on shopping habits","-- / 0","","Likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/05 9:42:38 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","None","-- / 0","","I don’t store them at all","-- / 0","","No","-- / 0","","I dont use smart phone","-- / 0","","very unlikely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/05 9:45:29 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Inconsistent benefits or rewards between stores;Having too many physical or digital cards;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores","-- / 0","","Likely","-- / 0","","Adaptable digital cards","-- / 0","","nope","-- / 0",""
"2024/11/05 9:47:23 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits","-- / 0","","Very likely","-- / 0","","Tell me what i actually get- points or discounts","-- / 0","","I think i would likely return to specific stores if i remember i had them all or could see them all together","-- / 0",""
"2024/11/05 9:48:38 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Inconsistent benefits or rewards between stores;Having too many physical or digital cards","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders","-- / 0","","Very likely","-- / 0","","Digitalising the physical card","-- / 0","","Environmental sustainable and efficiency is the key","-- / 0",""
"2024/11/05 9:50:23 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Daily","-- / 0","","Forgetting to use or redeem points","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","easy to understand and easy to use","-- / 0","","I would have to have all of my cards and memberships one click away and in one app to see . Instead of being at the store and trying to find my card or look in the phone, One click open app and find the membership or loyalty i need.","-- / 0",""
"2024/11/05 9:52:45 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Very likely","-- / 0","","notify me when my points are about to expire","-- / 0","","would be great if i can use the rewards as a flight miles","-- / 0",""
"2024/11/05 9:54:22 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores","-- / 0","","Likely","-- / 0","","should be easier to sign up for, rather then complicated online registration","-- / 0","","N/A","-- / 0",""
"2024/11/05 9:55:32 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.)","-- / 0","","A few times a year","-- / 0","","Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Integration with mobile payment options","-- / 0","","Neutral","-- / 0","","better web development","-- / 0","","no","-- / 0",""
"2024/11/05 9:57:25 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Ireland","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits","-- / 0","","Very likely","-- / 0","","I havent used so i dont know","-- / 0","","When the product i buy often is on sale if it can give me notifications about it would be nice","-- / 0",""
"2024/11/05 9:58:57 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","United Kingdom","-- / 0","","2-3","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Gyms/Health clubs","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards","-- / 0","","I use both physical and digital cards","-- / 0","","Unsure","-- / 0","","Ability to manage all memberships in one app;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores","-- / 0","","Likely","-- / 0","","no idea","-- / 0","","IDK","-- / 0",""
"2024/11/06 8:29:48 pm GMT","0.00 / 0","18-24","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs","-- / 0","","Daily","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Easy redemption of rewards from multiple stores;Customizable notifications and reminders","-- / 0","","Very likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/06 8:30:25 pm GMT","0.00 / 0","35-44","-- / 0","","Male","-- / 0","","Australia","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Online shopping platforms;Gyms/Health clubs","-- / 0","","Daily","-- / 0","","Inconsistent benefits or rewards between stores;Having too many physical or digital cards","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders","-- / 0","","Likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/06 8:31:34 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","4-6","-- / 0","","Grocery stores;Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms;Gyms/Health clubs;Travel and hospitality (hotels, airlines)","-- / 0","","Daily","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Inconsistent benefits or rewards between stores;Having too many physical or digital cards","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Integration with mobile payment options","-- / 0","","Very likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/06 8:32:13 pm GMT","0.00 / 0","35-44","-- / 0","","Female","-- / 0","","United States","-- / 0","","2-3","-- / 0","","Grocery stores;Online shopping platforms;Gyms/Health clubs","-- / 0","","Daily","-- / 0","","Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Personalized offers based on shopping habits;Easy redemption of rewards from multiple stores;Customizable notifications and reminders;Integration with mobile payment options","-- / 0","","Very likely","-- / 0","","no","-- / 0","","no","-- / 0",""
"2024/11/06 8:40:03 pm GMT","0.00 / 0","18-24","-- / 0","","Female","-- / 0","","Japan","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Daily","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Automatic point tracking and notifications","-- / 0","","Unlikely","-- / 0","","no","-- / 0","","no","-- / 0",""